ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,ògòAï[êî,òg1-1,òg1-2,òg1-3,òg1-4,òg1-5,òg1-6,òg1-7,òg1-8,òg2-2,òg2-3,òg2-4,òg2-5,òg2-6,òg2-7,òg2-8,òg3-3,òg3-4,òg3-5,òg3-6,òg3-7,òg3-8,òg4-4,òg4-5,òg4-6,òg4-7,òg4-8,òg5-5,òg5-6,òg5-7,òg5-8,òg6-6,òg6-7,òg6-8,òg7-7,òg7-8,òg8-8
2026072504020112,4,07251837,17,     226208,  29.6,   7.7,  21.3,  41.1,  18.2,   8.1,  42.7,   7.2,  59.8,  31.0,  60.4,  24.6,  13.3,  56.1,  11.6, 387.8, 120.9,  60.3,  31.4, 100.8,  28.3, 455.3,  92.9,  55.5, 117.7,  59.0, 174.4,  24.7,  77.1,  21.9,  56.3,  49.2,  11.7, 433.9,  38.9,  62.2
2026072507020101,1,07250929,9,      19118,   0.0,  33.7,  11.3,  78.3,   3.4,   9.1,  71.2,  24.9,   0.0,  57.2, 227.9,  24.3,  53.6, 114.8,  82.7,   0.0, 168.3,   7.7,  13.0, 117.5,  38.0,   0.0,  69.2, 154.3, 182.9, 129.9,   0.0,   5.6,  50.0,  16.1,   0.0, 105.8,  28.0,   0.0,  61.2, 174.3
2026072507020101,1,07250903,9,      11343,   0.0,  32.8,  12.6,  56.3,   3.5,   9.5,  66.5,  25.6,   0.0,  57.8, 183.1,  23.1,  54.9,  91.5,  83.7,   0.0, 122.0,   7.9,  13.9,  89.7,  38.8,   0.0,  57.4, 131.2, 137.3, 103.4,   0.0,   5.6,  43.0,  15.8,   0.0,  99.8,  27.8,   0.0,  52.6, 156.9
2026072507020101,1,07242058,9,        461,   0.0,  17.0,  17.0,  89.3,   4.8,  16.2,  22.3,  14.2,   0.0,  89.3, 119.0,  14.8,  71.4,  71.4,  44.6,   0.0,  89.3,  12.3,  14.8,  44.6,  29.7,   0.0,  59.5,  89.3,  51.0,  71.4,   0.0,  10.5,  19.8,  10.8,   0.0,  44.6,  21.0,   0.0,  22.3,  89.3
2026072507020101,4,07250946,9,      48971,   0.0,  42.9,   8.2, 147.1,   2.6,   7.1, 109.0,  35.0,   0.0,  74.1, 332.9,  28.3,  67.4, 184.2, 122.4,   0.0, 279.0,   7.6,  18.6, 176.5,  56.9,   0.0, 110.6, 235.7, 358.0, 243.2,   0.0,   6.0,  72.2,  20.5,   0.0, 158.7,  47.9,   0.0, 116.0, 311.0
2026072507020102,1,07250959,13,      22908,   0.0,  19.2,  24.4,  79.2,  64.5,  28.3,   6.5,  29.9,   0.0,  26.2,  94.4,  69.8,  27.3,   6.5,  44.3,   0.0, 117.5,  80.3,  33.4,  10.0,  49.0, 443.8, 128.6,  72.1,  27.6,  82.9, 455.2,  58.7,  19.8,  57.0, 181.1,   7.3,  35.0,  18.0,   8.7, 162.8
2026072507020102,1,07250900,13,       9293,   0.0,  20.1,  32.5,  69.9,  67.3,  29.6,   7.2,  25.8,   0.0,  31.7, 104.3,  56.2,  26.0,   6.4,  48.0,   0.0,  94.7,  60.0,  35.6,  10.8,  42.1, 423.6, 110.8,  68.5,  25.4,  68.5, 342.9,  47.0,  19.4,  45.8, 180.0,   7.5,  30.0,  20.5,   8.1, 184.6
2026072507020102,1,07242100,13,        356,   0.0,  21.2,  39.4,  45.9,  91.9,  39.4,   7.0,  19.7,   0.0,  91.9,  55.1,  27.5,  25.0,  13.1,  34.4,   0.0,  68.9,  91.9,  21.2,  13.1,  45.9,   0.0,  91.9,  34.4,  14.5,  39.4, 137.9,  45.9,  19.7,  91.9,  91.9,   8.3,  17.2,  22.9,   7.6,   0.0
2026072507020102,4,07251016,13,      72014,   0.0,  17.4,  21.4, 106.5,  66.9,  22.1,   5.0,  44.3,   0.0,  24.2, 123.4,  65.1,  22.1,   6.8,  55.4,   0.0, 151.2,  96.8,  27.6,   9.7,  65.3, 754.2, 180.0,  93.4,  45.5, 151.6, 845.6,  65.7,  25.4,  96.3, 205.1,   6.5,  42.5,  15.8,  10.8, 226.8
2026072507020103,1,07251029,12,      24091,   0.0,  93.8, 200.7, 333.4,  68.3, 239.3, 103.1, 131.4,   0.0,  28.6, 127.0,   4.8,  38.4,   5.8,  14.8,   0.0, 296.3,  46.4, 166.7,  67.1, 102.5,   0.0,  79.1, 239.3,  92.8, 139.3,  16.6,  29.9,   3.9,   9.2, 198.6,  32.9,  48.7,  56.0,  11.1,  67.6
2026072507020103,1,07250856,12,       6679,   0.0,  65.5, 147.8, 143.7,  73.9, 152.2,  70.9, 107.8,   0.0,  51.2, 123.2,   5.1,  27.2,   5.9,  19.0,   0.0, 126.2,  36.7,  99.5,  56.2,  68.1,   0.0, 112.5, 110.1,  68.1, 107.8,  19.6,  25.6,   4.2,   9.5,  80.8,  29.0,  34.9,  73.9,  11.5,  87.7
2026072507020103,1,07242053,12,        289,   0.0,  22.3,  74.6, 111.9,  55.9, 111.9,  44.7,  37.3,   0.0,  55.9,  74.6,   5.2,  27.9,  11.1,  17.2,   0.0, 111.9,  31.9,  37.3,  37.3,  74.6,   0.0,  44.7,  44.7,  37.3,  44.7,  27.9,  31.9,   5.0,  12.4, 223.9,  20.3,  24.8,  55.9,  13.1, 111.9
2026072507020103,4,07251047,12,      83023,   0.0, 187.0, 536.1, 893.6, 120.7, 502.6, 155.4, 254.3,   0.0,  54.4, 207.5,   4.4,  60.7,   4.8,  13.9,   0.0, 637.0,  45.5, 224.9,  49.5, 120.9,   0.0, 124.2, 514.7, 140.1, 283.4,  13.9,  39.3,   3.8,   9.1, 426.1,  47.7,  83.1,  44.4,  10.7,  41.7
2026072507020104,1,07251059,16,      28249, 221.1,  28.5,  56.7,   9.6,  91.2,  48.8,  10.1,  12.2, 192.0,  78.1,  21.3,  91.6,  58.8,  18.6,  25.3, 398.0,  39.1, 138.5,  88.9,  38.9,  45.8, 135.1,  82.6,  29.9,   6.4,   7.8, 781.8, 140.3,  60.9,  79.3, 384.0,  30.4,  30.4,  31.0,   6.4, 106.2
