年,月,日,場所,R,略レース名,条件表記,芝・ダート,距離,頭数,レース印１
7,,10,,,,,アスクケンタッキー,,牡,3,,武豊,55,,(栗),藤原英昭,(外),廣崎利洋HD,"Bedouin Bloodstock LLC",栗毛,3月24日
8,,11,,,,,ゴールドサーベル,,牡,5,*,荻野琢真,58,,(栗),大久保龍,,インゼルレーシング,社台ファーム,鹿毛,2月17日
8,,12,,,,,パクスロマーナ,,牝,6,,舟山瑠泉,56,,(栗),加藤公太,(地),酒井孝敏,野表篤夫,栗毛,3月16日
年,月,日,場所,R,略レース名,条件表記,芝・ダート,距離,頭数,レース印１
2026,07,25,札幌,12,桑園特別･2勝,３歳以上・２勝クラス/1000万下(定量)(混)(特指),ダート,1700,11,
枠番,B,番,印,M2,M3,M4,  馬名,Ｃ,性別,年齢,替,騎手,斤量,減M,所属,調教師,馬記号, 馬主, 生産者,毛色,誕生
1,,1,,,,,リメンバーヒム,,牡,4,*,鮫島克駿,58,,(栗),浜田多実,,宮田美恵子,中神牧場,栗毛,3月17日
2,,2,,,,,フェスタリア,,牡,4,*,和田陽希,58,,(美),矢野英一,,市川ファーム,市川フアーム,鹿毛,6月 3日
3,,3,,,,,ショウナンヤッホー,,牡,4,*,池添謙一,58,,(美),栗田徹,,湘南,ノーザンファーム,鹿毛,2月16日
4,,4,,,,,ギマール,,牡,5,*,石川倭,58,,(栗),岡田稲男,,カナヤマホールディングス,橋本牧場,栃栗,2月 9日
5,,5,,,,,セボンサデッセ,,牡,4,,武豊,58,,(栗),橋口慎介,,フィールドレーシング,ノーザンファーム,栗毛,1月15日
6,B,6,,,,,ジュンラトゥール,,牡,5,*,小沢大仁,58,,(栗),浜田多実,,河合純二,田中裕之,黒鹿,3月14日
6,B,7,,,,,ハイクオリティ,,牡,4,*,佐々木大,58,,(栗),今野貞一,,KHレーシング,松浦牧場,鹿毛,5月13日
7,,8,,,,,ベラジオワールド,,牡,4,,横山和生,57,,(美),伊藤大士,(外),ベラジオレーシング,"Vinery Stud (Australia) Pty Ltd",鹿毛,10月11日
7,B,9,,,,,ライフゲート,,セ,4,,丹内祐次,58,,(美),伊藤圭三,,斉藤三寛,グランド牧場,栗毛,5月 5日
8,,10,,,,,マッスルバック,,牡,5,,黛弘人,58,,(栗),秋山真一,,菊地温以,坂本智広,鹿毛,5月 2日
8,,11,,,,,ヒルノピレネー,,牡,6,*,浜中俊,58,,(栗),北出成人,,ヒルノ,桑田牧場,黒鹿,2月25日
年,月,日,場所,R,略レース名,条件表記,芝・ダート,距離,頭数,レース印１
2026,07,25,新潟,1,未勝利*,２歳・未勝利(馬齢)(混)[指定],芝,1800,10,
枠番,B,番,印,M2,M3,M4,  馬名,Ｃ,性別,年齢,替,騎手,斤量,減M,所属,調教師,馬記号, 馬主, 生産者,毛色,誕生
1,,1,,,,,コスモバルムンク,,牡,2,*,菊沢一樹,55,,(美),小手川準,,ビッグレッドファーム,ビッグレッドファーム,黒鹿,4月 1日
2,,2,,,,,フルーツバスケット,,牡,2,,吉田豊,55,,(栗),前川恭子,,鈴木剛史,タイヘイ牧場,鹿毛,4月16日
3,,3,,,,,ソラニワラエバ,,牡,2,,今村聖奈,53,◇,(美),武井亮,,石瀬浩三,漆木康一,栗毛,4月23日
4,,4,,,,,コルサロ,,牡,2,,杉原誠人,55,,(栗),中竹和也,,飯田貴大,千代田牧場,栗毛,5月 5日
5,,5,,,,,トリプティーク,,牝,2,,柴田大知,55,,(美),和田雄二,,本田恒雄,グランデファーム,鹿毛,4月 2日
6,,6,,,,,ローグアン,,牡,2,*,石川裕紀,55,,(美),浅利英明,,TURFレーシング,木村牧場,鹿毛,3月11日
7,,7,,,,,ノシェリー,,牡,2,,原優介,55,,(美),鈴木慎太,,中山栄一,社台ファーム,青鹿,4月15日
7,,8,,,,,ランドジャイアンツ,,牡,2,,大野拓弥,55,,(美),本間忍,,木村昌三,細川牧場,鹿毛,3月17日
8,,9,,,,,ワンコール,,牝,2,,石橋脩,55,,(美),牧光二,,平田修,社台コーポレーション白老ファーム,鹿毛,3月 2日
8,,10,,,,,レゾルーティオ,,牡,2,*,斎藤新,55,,(栗),坂口智康,,サンデーレーシング,ノーザンファーム,鹿毛,1月25日
年,月,日,場所,R,略レース名,条件表記,芝・ダート,距離,頭数,レース印１
2026,07,25,新潟,2,新馬,２歳・新馬(馬齢)(混)[指定],ダート,1200,14,
枠番,B,番,印,M2,M3,M4,  馬名,Ｃ,性別,年齢,替,騎手,斤量,減M,所属,調教師,馬記号, 馬主, 生産者,毛色,誕生
1,,1,,,,,エレクトス,,牡,2,,石川裕紀,55,,(美),池上昌和,,ヒダカ・ブリーダーズ・ユニオン,矢野牧場,栗毛,3月 5日
2,,2,,,,,リコルディオーロ,,牡,2,,佐藤翔馬,52,▲,(美),伊藤圭三,,ノルマンディーサラブレッドレーシング,鮫川啓一,鹿毛,2月 5日
3,,3,,,,,モミスケ,,牡,2,,武藤雅,55,,(美),水野貴広,,助川啓一,本桐村田牧場,鹿毛,1月24日
3,,4,,,,,ピウモッソ,,牝,2,,斎藤新,55,,(美),斎藤誠,,キャロットファーム,社台コーポレーション白老ファーム,鹿毛,1月27日
4,,5,,,,,ランズエンド,,牡,2,,今村聖奈,53,◇,(栗),野中賢二,,グリーンファーム,那須野,栗毛,3月19日
4,,6,,,,,ユイチャンファイト,,牝,2,,菊沢一樹,55,,(美),竹内正洋,,由井健太郎,藤沢牧場,栗毛,3月 4日
5,,7,,,,,サザンキンレンカ,,牝,2,,丸山元気,55,,(美),畠山吉宏,,サザンホールディング,平野牧場,黒鹿,5月 1日
5,,8,,,,,アレックスケー,,牡,2,,石橋脩,55,,(美),小野次郎,,小田健太,浦河小林牧場,鹿毛,5月 5日
6,,9,,,,,スクワミッシュ,,牝,2,,戸崎圭太,55,,(栗),梅田智之,,吉田勝己,ノーザンファーム,鹿毛,4月24日
6,,10,,,,,ライヴバーボン,,牝,2,,石田拓郎,52,▲,(美),尾形和幸,,澤田孝之,大島牧場,鹿毛,2月18日
7,,11,,,,,イニシャルポイント,,牝,2,,原優介,55,,(美),高木登,(外),ビッグレッドファーム,"Coffee Pot Stable",黒鹿,4月22日
7,,12,,,,,ミカミッチー,,牝,2,,横山典弘,55,,(美),田中勝春,,道永幸治,レイクヴィラファーム,鹿毛,3月 8日
8,,13,,,,,オンアロール,,牝,2,,田口貫太,55,,(栗),高野友和,,飯田正剛,千代田牧場,鹿毛,4月 5日
